mistreat	0000121
undoubtedly	0004241
tip the balance	0013588 marked
swamped	0000681 marked
overly	0003566
constraint	0001098
inevitability	0000774
anecdote	0000834
on humble means	0003875 marked
spoof	0000352
recognisably	0000004
backslide	0000048
adverbial	0000061
lingerie	0000779
heartbreaking	0001013 marked
minor	0013682
spool	0000542
hostile	0006502 marked
spook	0000484
irreversible	0001027
celestial	0002073
upon	0059447
decode	0000543
get shredded	0002801
lad	0001358 marked
bulwark	0000330
crawl	0003154
plead	0001847
lag	0001664
ambitious	0006356
recognisable	0000022
contemptuous	0000556
double spacing	0000847
phrase book	0010074 marked
defective	0001269
down the drain	0007073
raise	0029729
delinquency	0001295
employer	0006514
quite	0072765
lap	0008067
puberty	0001012
pram	0000073
pliant	0000000
revere	0000677 marked
higher intelligence	0028293
mindset	0000988
lax	0001015
comparison	0013491
granary	0000128
ejector seat	0000000 marked
incontrovertibly	0000042
crave	0001038
revert	0000674
suspects	0006076
herbivore	0000092 marked
sneak off	0003059 marked
successive	0002317 marked
condition	0025940
thirsty	0001484
binge	0001163
for good	0378758 marked
sneak preview	0002610
idyllic	0000833 marked
gratification	0000984 marked
paperback	0001873
breadwinner	0000288
abdicate	0000166
taxation	0001689
shot in the arm	0038165
distressful	0000000
emanate	0000401
lavatory	0000309
censure	0001231 marked
airtight	0001146 marked
troop	0003570 marked
move in	0086571 marked
artificially	0001194
shorthand	0000732
henchman	0000124
chattel	0000132
levy	0003209
convenience store	0004813 marked
intimidate	0001102
wound	0009972
teacher	0054275
similarly	0012647
mesmerise	0000000
generous	0007251
step down	0052415 marked
detrimental	0001404
coincidence	0003456
knavish	0000000
I insist on getting a refund of	0001087 marked
possibility	0024584
angry mood	0013360
exhibition	0011229
apologetic	0000769
satiate	0000037 marked
hiking boots	0004747
casserole	0001235
lengthy	0003594
necklace	0002851
distinguished	0006467
gander	0000218
saliva	0001250
crescent	0001136
inflate	0000649
bemused	0000665
in like manner	0018020 marked
go out	0392126
foment	0000180
equilibrium	0001934
bereft	0000598
maintenance	0010568
clothes-pin	0000000
janitor	0000927
cluster	0006800
prey	0004804
elation	0000487 marked
geese	0001787
attire	0001342
glisten	0000250
unmet	0000484
quid	0000535
flawless	0001194
absorb	0004009
reconstitute	0000247
supply	0021919
wherein	0001146 marked
reverent,	0000000
leg	0019582 marked
resuscitate	0000261
disestablishment	0000041
integrity	0008805
merge	0001728
liable	0002168
appreciative	0000988
quagmire	0000624
remittance	0000123
adviser	0007909
Best regards	0002986
dough	0006699
unmentionable	0000000
Suspender Belt	0000000
panacea	0000597
carer	0000059
get/take ahold of yourself	0000000 marked
It is certainly true	0062229
ratch up	0000000
pace	0013294 marked
breathtaking	0001478 marked
exclaim	0000251
vulnerability	0003224 marked
courtesy	0004849 marked
pack	0015288
beef up	0008905
patchwork	0000985
untapped	0000494 marked
miss classes	0020369
padded	0001708
untamed	0000287
supple	0000754
cordially	0000161 marked
enroll	0001660
horrendous	0001114
bravado	0000802
polite	0004400
armpit	0000436
ardent	0001307 marked
entertainment	0015051
dethrone	0000000
pass along	0040227
kidney bean	0003649
rapport	0001077
hold by	0064805
availability	0005743
on a hunch	0000988 marked
cohesive	0000993
untoward	0000270
responsiveness	0000927
clay	0005800
promote	0014538
memorabilia	0001402
moody	0002427
doer	0000158 marked
divorce	0011949
appurtenance	0000010
buckle up	0001568 marked
mindless	0000920
guilt-trip	0000000
uninhabited	0000373
legislation	0019403
clause	0002681
quiz	0001691
empathy	0002780
schwa	0000000
fraught	0001141
dodge	0004163
clad	0001494 marked
thirst	0001496 marked
consolidate	0001334
benevolently,	0000000
authenticity	0002305
tidal	0001886
temporality	0000265
withdrawal	0005978 marked
stuffed	0006459
takeaway	0000185
haughty	0000396
above all	0074715 marked
timetable	0001637
claw	0001278
I believe this matter deserves your urgent attention	0004475
emphatically	0001321
prayer	0012383
pads	0003004
detainee	0000614
misrepresent	0000223
ergo	0000229
formative	0001219 marked
clam	0000866
pluck	0000788
mindfuck	0000000 marked
dataset	0000170
quip	0000239 marked
insurance	0036345
surely	0014433
principle	0014977
deterrent	0001466 marked
in turn	0094098
lid	0004585
headstone	0000394
carnation	0000232
unable	0016478
detergent	0000746 marked
lip	0007371 marked
at the turn of	0094098
irrigation	0002988 marked
compile	0000652
balance sheet controls	0012608
fume	0000156
bias	0006641
witheringly	0000000
ravenous	0000409
steer clear	0002915
from what I gather	0009860 marked
radiate	0000547
chest	0022381
tension	0010988
tenuous	0001269
opinionated	0000415 marked
merest	0000218
doubt	0029245
merit	0004335 marked
verbal	0007508 marked
develop	0034493 marked
harassment	0005975
hydrocarbon	0000345
cookie-cutter	0000000 marked
diamond in the rough	0004678
conscious mind	0007409
mockery	0000804
bandwagon	0000737
district	0026743
squeeze out	0005599
ballroom	0001781 marked
double up	0024105
overall	0030398
rollerblading	0000000
philanthropy	0000967
cross off	0019005
powerlessness	0000453
counterintuitive	0000000
motivation	0009515
panache	0000322
impersonal	0001105
resistant	0003126
stubbornness	0000441
gross profit	0008097
snack on	0003144
shock absorber	0000000
nom de plume	0000000 marked
dogmatism	0000195
perceptual	0001358
rush in	0016676
inflame	0000317
wreckage	0001971
enhance	0008616
witchcraft	0001150
convention	0012491
pain	0040558
harvest	0006600
cranial	0000417
clef	0000132
suspicion	0005371
it goes without saying	0067816
churlish	0000104
refusal	0003598
supper	0004325
flaunt	0000383
pair	0021353
manage	0013259
versed	0000418 marked
equal	0021022 marked
around the turn	0094098
fund	0030717
snugly	0000494
intermittently	0000634
marsupial	0000094
cauldron	0000466 marked
sign off	0042169 marked
extravaganza	0000673
alight	0000338 marked
dead end	0063037
e.g.	0000000
mesmerize	0000050
whiplash	0000234
incur	0000622
plump	0001932
louse	0000133 marked
cabbage	0002743
in contrast to this	0022509 marked
recoil	0000747
palm	0009004
interactive	0005251
rubbery	0000465 marked
punitive	0001944
anglophone	0000123
scapegoat	0000663 marked
vitrify	0000007
ordeal	0002261
complacent	0000733
twitter	0000698
plumb	0000554
pro-	0000000
premise	0003580
recruitment	0003690
suppression	0001561
controversial	0010393
traversal	0000049
unprejudiced	0000027 marked
imbecile	0000142 marked
pale	0011657
pull off	0028317
lousy	0002246
tenant	0001845
hardware	0007226
pretty penny	0005308 marked
deputy	0011968
scoop out	0002474
batter	0003320
bide	0000161 marked
insufferable	0000233
right this way	0432683
unstressed	0000044
preventive	0002642
adamantly	0000616 marked
law-enforcement	0000000
judicial	0007544
shuttle	0007333
allocate	0000855
permafrost	0000000
provide	0072835
madden	0000960 marked
afar	0000909 marked
athletic	0011484
primary	0033174
muffle	0000177
fill out	0019419 marked
abjure	0000032
masterful	0000680
log	0007113
falcon	0000643 marked
reliability	0007114
wellington boots	0000892
dome	0004360
up-to-the-minute	0000000
shelve	0000122
accidental	0002522
power outage	0000365 marked
undefined	0000334
fuse	0001250
wholesale	0002853
distinguishable	0000371
take something away	0206770 marked
joined at the hip	0008347
tumble	0001512
pane	0000756 marked
merely	0018700
pang	0000499 marked
contradiction	0002335
fuss	0002121
wealth	0013470
means	0086674
prod	0000566
initial	0021072
rudimentary	0001079
fury	0003160
incisive	0000284
rusty	0003048
leeway	0000650
dole	0008470
wrangler	0000317
orphan	0001302
postulate	0000360
eternal	0004171 marked
redress	0000839
absurdity	0000829
crumple	0000167
fellow	0022823
hesitantly	0000612
large intestine	0000525
discourse marker	0002840 marked
overpower	0000330
nutrient	0001869
recapitulate	0000081
invaluable	0001510 marked
unforced	0000079
play out	0114872 marked
omniscient	0000319
improper	0002166
oddball	0000404
sassy	0000667 marked
barbell	0000000
experience	0091835
shrivel	0000185
cyclone	0000400
make up	0373942
Input	0006085
indentation	0000366
denote	0000559
minutiae	0000353
inappropriate	0005036
propagate	0000488
inscription	0001388
affair	0010126
cutting board	0017369
orthodox	0004674
necessitate	0000395
bulletin-board	0000000
obtain	0009307
adept	0001532
pop up	0015739
lead a charge	0032227
cave in	0007066
pulverise	0000000
curiosity	0005551
amiable	0000630
minutes	0101662
sacrifice	0007594
particular	0058076
teller	0001121 marked
fumble	0000986
unseemly	0000596
perceived	0017744 marked
correlate	0001193
westerner	0000076 marked
ample	0003427
numinous	0000096
diffidence	0000102
cohesion	0001586
retrench	0000065
skip the line	0003031 marked
authorized capital (authorized shares, authorized stock, autorized share capital)	0000000 marked
passing laws	0019575
apoplectic	0000122
unbidden	0000000
ease	0011190
supple.	0000000
condiment	0000259
mathematics	0007606
cookout	0000000
fulcrum	0000228
grinding	0002246
actions speak louder that words	0004002 marked
jealousy	0002132
radiant	0001658
paddle	0001647 marked
vibrancy	0000250
penetrate	0002196 marked
focal point	0002768
perpetrate	0000145
pare	0000555
principal	0016380
unrestrained	0000380 marked
relief	0020205
preposterous	0000917
fuzzy	0002604 marked
undergrad	0000000
cumber	0000000
invalidate	0000363 marked
absentee	0001115
unadorned	0000376
confabulate	0000000
gratitude	0002899
lithe	0000495
earn	0010238
interaction	0012241 marked
besom	0000000
interfere	0003500
lug	0000525
intangible	0000834
lincoln logs	0000000
oxymoron	0000402
coherence	0001326
cubicle	0001018 marked
fiery	0002369 marked
mutually	0002426
compassion	0005059
ambiguous	0002942 marked
asylum	0002460
unfathomable	0000446 marked
path	0024262
run behind	0103714
keep around	0140931
bind	0002213
breeches	0000339
cityscape	0000000
blankly	0000788 marked
unfathomably	0000028 marked
grotesque	0001422
hardly anything	0021539
prevention	0008255
clot	0000597
on the other hand	0147365
pass	0040227
curriculum vitae	0000552
mild	0006795
to conclude with	0005465
dorm	0001949
can’t help	0000000
bill	0105759
a strong likelihood	0006025 marked
whichever	0001316
stiffness	0001293
peninsular	0000105
whose	0077943 marked
bile	0000638
acrid	0000456
I will contact you again shortly.	0000000
clog	0000510 marked
bucket	0003977
pill bug	0003904 marked
crafting	0000675
articulated lorry	0000139
domain	0006272
census	0004216
smear	0001324
willful	0000793
relative	0018317
whiz kid	0000958
quartermaster	0000142
homeschooling	0000000
frostily	0000023
profoundly	0003231
longish	0000169
annuity	0000633
bloated	0001254
mint	0003283
adoption	0007650
pave	0000806
harmonize	0000374
dove	0005796
trigger off	0006896
go-to	0000000
mind	0091004
round table talks	0020384
emergence	0004306
reverence	0001420
medieval	0005093
adjoining	0001502
head over	0160365
operational	0003755
involve	0010119
hold to	0064805
requisite	0001285
breathless	0001391
obsequious	0000124
degrading	0000833
purposefully	0000807
multiplex	0000000
sedition	0000210 marked
inflexible	0000532
as they come	0284722 marked
supersede	0000230 marked
showcase	0002349 marked
tune in	0007193
long haul flight	0003480
in charge	0032227
junk food	0004912
syllabus	0000481
pass off	0040227
commuter	0001797
bereavement	0000410
emergency	0020358
impel	0000095
lichen	0000433
latter-day	0000000
adder	0000152 marked
can't help	0000000
hold up	0064805
faculty	0019996
acceleration	0002307
wretched	0001162
free-for-all	0000000
legal	0046827
club	0024834 marked
bracket	0001823
clearing transaction	0003502
assembly plant	0007031
fortitude	0000529
signal	0012541
disgustedly	0000000
look into	0260017
dyslexia	0000458
chairperson	0000507
trip up	0034294
for the moment	0094662
cajole	0000192
monty	0000000
exhaust	0002720
soluble	0000459
ostentatious	0000328 marked
retrenchment	0000274
aegis	0000510
einstellung	0000000 marked
regarding	0019674
upwards	0001320
make up of	0373942
rowboat	0000000 marked
fastener	0000193
relativity	0001242
pretentious	0000610
tackle	0006618
solvent	0000802
outerwear	0000000
vehemently	0000867 marked
pawn	0000723
worth noting	0005787
large-scale	0000000
have your own way	0261444 marked
divisive	0001576 marked
influenza	0001146
synthesizer	0000343
squeeze	0005599
heart attack	0040652
rather	0106268
academic degree	0030218
commonality	0000498 marked
papery	0000000
worthy	0006094
at times	0148186 marked
title	0024052
mist	0003685
lather	0000313 marked
awry	0000730 marked
redefine	0001038
embittering	0000009
incentives	0006849
aqueduct	0000415
bite	0008374
sophisticate	0000000
doze	0000343
hemisphere	0001936
continuation	0001921
i would like to draw your attention to	0020749
pull away	0028317
knockout	0000746
arrogant	0002406
soul-searching	0000000 marked
spelling	0003500
custom	0005868
looting	0001568 marked
reengage	0000000
blessed	0005081
beret	0000484
permission	0010205
amygdalae	0000000
cesspool	0000152 marked
decidedly	0002146
apprehend	0000357
rewind	0000299
crippling	0000945 marked
oneness	0000354 marked
fiend	0000249
dawdling	0000128
interpret	0004811
arduous	0001013 marked
faction	0001656
gold leaf	0006943
bureaucrat	0000626
ludicrously	0000106
blanket	0006880
love handles	0003821
mire	0000216
recoup	0000651
atrocious	0000362 marked
behoove	0000076
append	0000055
knockoff	0000000
frigid	0001269
put heads together	0025765
deplorable	0000477
I agree with you up to a point	0039283 marked
exhausted	0006326
relish	0001800 marked
division	0016544
double as	0024105
exasperate	0000029 marked
distillation	0000287
supplies	0012346
call it a day	0137651
mimic	0001588
scoreboard	0000637
feat	0002060
incessant	0000723
errantly	0000000
inspection	0005695 marked
adversity	0001162
rhythmically	0000439
inadvertent	0000467 marked
torrent	0000885
appreciation	0006236 marked
play at sight	0021030
sense	0100239
to the quick	0031724
oozy	0000000
snap out	0005335
on the lot	0213714
pass through	0040227
go bananas	0002170 marked
for its own sake	0009116 marked
virtuous	0001051
wilderness	0008141
legitimate	0010002
mitten	0000131
put an end to	0173532
whereby	0002175
evaluate	0007560
mite	0000435 marked
transferability	0000122 marked
skew	0000379 marked
ooze	0000483 marked
renown	0000438
smolder	0000119
server	0002205
amalgamate	0000026
semantic	0001383 marked
reemerge	0000000
petrify	0000017 marked
upset	0014172
centrifugal	0000470
noggin	0000124
grievances	0001273
tailor	0001348
skim	0001180
farfetch	0000000
skip	0003031
cleanse	0000570
liquefy	0000000
mention	0019395
fertiliser	0000010
crux of the matter	0000715
mad	0013255
legislator	0001222
grudge	0000587
herald	0000924
leisure	0003510
map	0018970
mar	0002144
roger that	0013811
mat	0002989
Having looked at both sides	0029410 marked
inky	0000366
goalie	0000681
insinuation	0000148
unquenchable	0000121 marked
nanofiber	0000000
assimilate	0000899
ethical	0009419
virtuoso	0000501
prostrate	0000300
split the difference	0014265
marvellous	0000102
rewire	0000072
born and bred	0001707 marked
vividly	0001698
one bit	0074537 marked
trustworthy	0000920
would-be	0000000
residency	0001601
self-esteem	0000000
presumably	0006277
condolence	0000227 marked
recognition	0014831
prosody	0000062
terribly	0005268
get laid	0016325 marked
aisle	0004791
bedlam	0000280
convene	0000606
firefighter	0001674
weather pattern	0021711
residence	0006608
insinuate	0000158
textbook	0002975
syllable	0000743
abduction	0001119 marked
equipment	0029066
strap in	0002304
right up there	0455674
unavoidable	0001177
bank loan	0012083
wound up	0009972 marked
handily	0000423
backflush accounting	0000000
literacy	0005716
chuckle	0001466
lack of conclusive evidence	0001025 marked
feed	0013611
martial	0002348
background	0023935
bonnet	0000584
skit	0000355 marked
busier	0000377
zeitgeist	0000287
desensitize	0000000
falling-out	0000000 marked
emitter	0000115
traipse	0000081
handsome	0007690
ubiquitous	0002248 marked
martian	0001895
whittle	0000684
conceive	0001752
turquoise	0001378 marked
incandescent	0000631
cardiac arrest	0002475
adulation	0000405 marked
nonsense	0003759
fair share	0028183 marked
breath	0024505
meh	0000000
green thumb	0006381
airborne	0002792 marked
blobby	0000000
icebreaker	0000000
fanny	0001441
gather myself	0009860
justification	0003567 marked
nappy	0000155
collude	0000080
wicked	0002477
repeal	0001724
wind band	0025458
supervisory	0000850
octagonal	0000255 marked
barley	0001263 marked
dismember	0000090
bellicose	0000205
masculine	0002881
orange	0018003
hold on	0064805
constituency	0002014
ripen	0000370
contingency	0001712 marked
authentic	0005194
in regard to	0016626
intermix	0000000
mercy	0004661
earth-shatteringly	0000000
depend	0008934
untidy	0000238
outdo	0000284
get in touch	0031428
tear off	0006919
cutting-edge	0000000
executive director	0038342
granted	0011243
precipitation	0001304
at the expense	0008435
meaningfully	0000488
above	0074715
stick	0019278
monad	0000088
running out	0067036
comprise	0001657
moderate	0011120
resident	0009975
concomitantly	0000144
wishy-washy	0000000
receiver	0007118
hang up the suit	0014979
gilding	0000145
invent	0001887
buy into (something)	0000000 marked
squeak out	0000717 marked
substantial	0013790
booth	0006097
quality	0047274
millet	0000371
illicit	0002154
pillar	0001563 marked
afresh	0000192
mollusc	0000004
foot soldier	0011906
pig in a poke	0001707 marked
It’s been ages since we’ve seen one another	0000000 marked
consistently	0008472
boost	0008263
sincere	0002758 marked
lungful	0000000
secret ballot	0005580
maternal	0002988
shared	0021815
prolific	0001301
endogenous	0000276
crossover	0001016 marked
mia	0000000
monch	0000000
braggy	0000000 marked
vigor	0001611
shell fish	0010109
March	0041142
association	0017648
eliminate	0009208
augment	0000779
shares	0014527
roster	0003140
call on	0137651 marked
blazingly	0000000 marked
glance	0008568
outnumber	0000718
purification	0000671
deus ex machina	0000000 marked
benign	0002895
supports	0009855
interlaced	0000213
look down	0260017
destruction	0012731
occipital	0000120
booty	0000761 marked
acquit	0000260
hell-bent	0000000
stiff	0006761
benigh	0000000
prosper	0001126
though	0172470
thinktank	0000000
blizzard	0001436
quite often	0072765
ottoman	0000393
sunken	0001096
appeal	0017538
crate	0001395
swamp	0002818
abscond	0000039 marked
appear	0034126
sideway	0000000
drill bit	0005323
collaboration	0006583
negate	0000489
mismatch	0000498
show off	0157687 marked
glide	0001212
overwork	0000180
wording	0001050
infrequent	0000741 marked
funder	0000121
grapevine	0000533 marked
chute	0001060 marked
tweed jacket	0001045
blackcurrant	0000005
invest	0007987
trepidation	0000608
aberrant	0000347
exclamation	0000662
eclectic	0001668 marked
enhancement	0001942
I am writing in regard to	0016626
on a roll	0019877
move on	0086571
roughly	0012832
greedy	0001841
infallible	0000387 marked
contankerous	0000000
The purpose of this essay is to present a	0009768
sidewalk	0005983
crane	0003508
formidable	0003458 marked
bling-bling (bling)	0000000 marked
sizzling	0000793
abound	0001767 marked
suitcase	0003321
clunky	0000430
in short	0066635
owing	0001546 marked
conquest	0002214
gardener	0002115
fool around	0007723 marked
crack the whip	0003901
daemon	0000000
nausea	0001859
retch	0000223
assurance	0002782
fortnight	0000261
misfire	0000102
goggles	0001273
abort	0000560
evening gown	0003582
hypothetical	0002327
culinary	0002620
forefather	0000036
basket case	0006851 marked
allow	0042327
dangle	0000579
appliance	0001130
alloy	0000878
defer	0001016
consciously	0002250
befall	0000254
keep an eye	0044177
proper	0017703
recap	0000985 marked
circular flow	0003530
despicable	0000595 marked
everyday vernacular	0001148
bitter	0008749
distantly	0000329
allot	0000095 marked
gesture	0007030
To the management of	0047030
Control	0108285
propel	0000971
rampant	0001940
berth	0001395 marked
backstage	0001967
immature	0001117
pass out	0040227
clusters	0004197
ungrateful	0000396
unaffected	0000916 marked
patrol	0006374
patron	0002374
unctuous	0000130
lodger	0000082
jumbo jet	0000950
recently	0058503
paced	0001354
overlook	0002141
flatly	0001289 marked
incredible	0010893
operationalize	0000120 marked
go window shopping	0017319
stocky	0000714
seagull	0000265
concoct	0000231 marked
constitutive	0000590
incredibly	0006541
earthling	0000057 marked
attic	0002785 marked
healthy	0024380
actionable	0000206 marked
misplace	0000055
avalanche	0001345
undefended	0000087
try out	0103972 marked
medulla oblongata	0000000
endanger	0000801
mob	0003824
by and by	1589210
medical education	0062694
hang over	0014979 marked
go on!	0000000
reliably	0001204
penile	0000000
pushover	0000150 marked
whole	0103786
take the wind out of someone's sails	0000000
relation	0011047
mop	0001058
cozen	0000000
reliable	0008703
variably	0000043
mow	0000646
fern	0001068
lean in	0007993
obstacle	0003409
in the heat	0045754 marked
slate	0002499
fickle	0000622
hazelnut	0000300
all-encompassing	0000000
rolling hill	0013461
movie crew	0019232
collaborative	0003866
resemblance	0002347
constitute	0005327
livening	0000000
walk away	0049583 marked
benchmark	0001567
unresolved	0001495
little else	0092009
toward	0110387
(to be) in full swing	0000000 marked
midden	0000083
to excess	0007744
among	0144460
gorge	0000966
dormouse	0000010
caretaking	0000000
alluring	0000805
flock	0003358
internal	0022978
deprecate	0000021
tongue	0010510
without a hitch	0001174
literary	0013305
excise	0000524 marked
churn	0000644
Please look into this matter as soon as possible	0040385
caress	0000686
punch	0006218
this guy is toast	0004434
wind back	0036104 marked
patio	0002854
sideburn	0000022
naturally	0011755
since time immemorial	0000241
flexibility	0006379
move up	0086571
writing	0048275
lotta	0000000 marked
excursion	0001103
cramp	0000405
persecution	0001810
repent	0000387
swallow	0003760
alongside	0007442
stint	0001812
hominid	0000281
outlandishly	0000049 marked
twisting in the wind	0002791
revisit	0001081
freak out	0002360
tremendously	0001911
academe	0000000
sting	0002872
haste	0001000
buckle	0001568
nurture	0001889
stink	0001514
outflow	0000413
altogether	0007457
it follows that	0014583
fail dismally	0000123
sleeve	0003295
hasty	0000982 marked
comprehensiveness	0000187
perambulate	0000000
Woe is	0000616
menial	0000421
defender	0002563
infrequently	0000767
regrettably	0000526
imbalance	0001683
fertility	0003807 marked
craft	0009403 marked
rigorously	0000660 marked
axis	0003230
unwrap	0000276
juxtaposition	0000854
herculean	0000000
negligent	0000825
at your discretion	0002579 marked
a heck of a sth/sb	0000000
regrettable	0000487
coarse	0002195 marked
evade	0000864
obliteration	0000214 marked
cortex	0000936
midday	0001675
imply	0003324
offset	0003638
parlor	0002843 marked
capture	0010027
flabbergasted	0000000
peruse	0000306 marked
sucrose	0000124
swap out	0001824
I am writing to express my concern about	0012284
estimation	0001468
sequence	0008269
appointee	0000529
unreliable	0001366
mud	0008314
mug	0002911
abolition	0000881
throw away	0020610 marked
chunk	0002911
jade	0000610
bombard	0000242
elder	0004488
protract	0000012
epitome of creation,	0000000
commonplace	0002056
the fact of the matter is that	0085598
libel	0000659
captivate	0000129 marked
frog in the throat	0002676
empathize	0000406 marked
expedited	0000296
briskly	0001255
jovial	0000371
off the hook	0007992
go off	0304479 marked
scrubbing pad	0000944
iteration	0000298
kingmaker	0000000
axle	0000728
petulant	0000272
agonize	0000159
foggy	0000936
encompassing	0001021
three-fold	0000000
sludge	0001679
overestimate	0000453
toad	0000899
humid	0001369
selfishness	0000694
chisel	0000491
ultimately	0021374
controversy	0010238
jack	0000000 marked
command	0015569
ineffective	0002439
grimace	0000639
scrounge up	0000131 marked
compulsory	0001058
swarm	0001390
chump	0000237 marked
variable	0009481
detach	0000345 marked
temple	0010106
slash	0001709
locus	0001914 marked
tally	0001491
matron	0000416
irritated	0001893
landscape	0017601
perfection	0003163
kowtow	0000068
desperate	0010290
track record	0033785
annotate	0000050 marked
urge	0006372
slab	0001656
spotting	0001170
look away	0206770
famine	0001999
transcendental	0000597
felony	0002385
pig out	0004854
inept	0000791
set the table	0069887
go rogue	0002110 marked
corncob	0000000
agreement	0032396
dealing	0019225
oscillate	0000125
coalesce	0000400
merchant	0003298
i regret to inform you that your service was below my expectations	0004516
mushy	0000520 marked
capitalize	0001293
overload	0000960
even-handed	0000000 marked
after sight	0021030
nerve-racking	0000000
straggly	0000000
derelict	0000473
conception	0004601
detain	0000461
contaminated	0003363
contravene	0000083
fared	0001216
flailing	0000798
beware	0001581
connotation	0000502
brusque	0000292
lionise	0000000
get the nod	0004866
stretcher	0000973
for instance	0030406
utility	0008770
take after	0304841 marked
have a ball	0037933
backwater	0000470
emphysema	0000494 marked
colloquially	0000071
musky	0000226 marked
eloquent	0001412
malamute	0000000
proponent	0000870
crumb	0000723
refuse	0006800
cudgel	0000078
sleek	0002873 marked
prohibition	0002476
oeuvre	0000487 marked
particle	0002409
head-start	0000000
pass over	0040227
There is one thing that I would like to clarify before going ahead.	0000000
sweep	0004838
enthralling	0000130
descend	0001904
flimsy	0001028 marked
slay	0000362
superlative	0000230
exhalation	0000200
canine	0000861 marked
onset	0002875
heart sinks	0002039
pushing	0014820
slam	0002643
for a while	0276747
descent	0004142
I want to draw your attention to my previous e-mails.	0000000
aperture	0000881
assiduous	0000111 marked
farce	0000763
refute	0000668
upside	0003683
pathway	0001596
slat	0000128
emerge	0008392
exemplify	0000525
axon	0000064
irritant	0000285
ancillary	0000537
slap	0003081
anniversary	0008825
teleworking	0000000
steeply	0000638
damnation	0000361
screening	0006729
u-turn	0000000
gratuitous	0000544
eager	0010079
holocene	0000000
repast	0000000
satori	0000000
kick it to the curb	0004492
sled	0001344 marked
whirlwind	0000948 marked
premeditation	0000000
incorporated	0005344 marked
alliteration	0000132
discrimination	0010194 marked
bison.	0000000
badass	0000000
world-renowned	0000000
nonexistent	0001579
surrender	0004389
unopposed	0000325 marked
way too good	0293373 marked
obligatory	0000804
cruel	0005107
caste	0001412 marked
suretyship	0000000
persistent peter	0000000
exquisite	0002255
Sorbet	0000447
blazer	0000818
jail	0015854
gather	0009860
cardinal	0001951 marked
evergreen	0001779
insist	0007121
lowdown	0000374
beneficiary	0001156
skyrocket	0000314
perverse	0001461
concussion	0000916
bonfire	0000854
bored	0005021
wipe-clean	0000000
fall ill	0016966
inbound	0000173
breakdown	0004174
perturbed	0000279 marked
enslavement	0000310
line up	0107095
working capital	0038213
stretch	0012637
widely believed	0016744
flag pole	0006915
havoc	0001661
irritate	0000526
look out for	0260017
responsible	0028753
knuckle	0000526
delirium	0000534
mistake	0018363
odourless	0000000
allow me to elaborate on why	0007032 marked
protrude	0000198
flounder	0000553
toil	0000651 marked
enthrall	0000045
chiefly	0001313
unremarkable	0000707
residue	0001653
praise	0006871
defensible	0000525 marked
frenzy	0002549 marked
significance	0011945
cutthroat	0000000 marked
aplenty	0000000
daunting task	0002619
sweat	0009914
inconsistency	0000763
ribs	0004186
deliberate	0003915
slew	0001184
swear	0004449
taper	0000407
for the most part	0205917
summit talks	0009750
convival	0000000
rife	0000795
blandish	0000000
careen	0000000
release	0022317
crop duster	0000450
slim	0004627
abiding	0000892
purify	0000376
toll	0005850
to think the world of	0310256
nab	0000396
above reproach	0000531
drydock	0000000
pearly gate	0000456
I am confident that	0011404 marked
brethren	0001079
pagan	0001402
flanking	0000544
zealot	0000246 marked
dig in	0006576
relevancy	0000000
nap	0002418
defile	0000146
similar	0060960
toke	0000066 marked
wiggle	0000831
lionize	0000000
practitioner	0001960
busting my ass	0000600
yuppie	0000483
put in perspective	0023766
responsibly	0000886
weathered	0001749
quarry	0001357 marked
relevance	0003477
low-grade	0000000 marked
agreeableness	0000000 marked
nbd	0000000
malnutrition	0000835 marked
hedgehog	0000206
pajamas	0001625
driver	0022993 marked
temperamental	0000499
arachnid	0000063
turn into	0094098 marked
circumscribe	0000088
expulsion	0001098
I attach some information that I hope you find useful.	0000000
caseload	0000511
(somebody/something) in question	0000000 marked
against	0218609
savor	0001110
parole	0003080
aback	0000990
pouring	0004424
swell	0002358
barrack	0000096
remind	0008643
crude	0005194
once in a blue moon	0014220
withstand	0002212
hoedown	0000000
grind to a halt	0002098
encourage	0015640
at bay	0011521 marked
pesky	0000619
incriminate	0000134
thereabouts	0000169
deconstruct	0000264
sabbatical	0000573
uphill	0002085
cohere	0000000 marked
linger	0001740
carry forward	0029386
grasshopper	0000392 marked
measly	0000246 marked
storey	0000463
cumulative	0002263
rift	0001211
slit	0001402
enigmatic	0001097
immersive	0000000
slip	0008796
anchor	0010069
urgently	0001223
polarize	0000154
shingle	0000418
utilization target	0001746
etch	0000254
think on my feet	0082908
have a blast	0005890
Resentment	0003439
forgetful	0000235 marked
honor	0020506
by and large	0119972 marked
by means	0086674
volatility	0001231 marked
aerial	0002728
losses	0011938
equanimity	0000256
quantum mechanics	0004182 marked
indigenous	0009198
back-of-the-envelope	0000000 marked
net	0017526
pronouncement	0000492
nasty	0005521
intense	0015058
thrifty	0000344
atemporal	0000000
elaboration	0000819
dignify	0000139 marked
neckerchief	0000052
rumination	0000108
outlandish	0000683 marked
uneventful	0000397 marked
ginger	0005766
scales	0007928
strenuous	0000984
repetitive	0001532
inconvenience	0001090
boundary	0003751
precipitate	0000485
mandate	0005648
slog	0000288
barrage	0001361
eponymous	0000257
meander	0000256
respective	0004138
mull (something) over	0000000 marked
chock-full	0000000
impassable	0000282
joyous	0001039
